	$\tilde{E} \ (10^{49}erg)$	$p$	$\alpha_S$	$\theta_j \ (deg)$	$\Delta\theta \ (deg)$	$n \ (10^{-4}cm^{-3})$	$\epsilon_e \ (10^{-1}) $	$\epsilon_B\ (10^{-4})$	$E_{off} \ (10^{49}erg)$
21	5.029318420919655	2.184590170896735	2.3181870958936375	3.4705724853649063	15.539826196988606	0.9982325013576139	1.0284799598172691	1.9710140455133314	3.049395550444133
22	4.969710215401309	2.2448805451582556	2.4587971996565403	2.789336992926863	15.572957311605013	0.8578066689069477	0.8578541989882107	1.9676791113807668	3.0417603653258847
23	4.948364184122678	2.277369076893969	2.4424009812167986	3.1191144796658405	15.785781483730668	0.9947755106964419	0.9755439315272145	1.9493646560132403	3.0087712147521954
24	5.071019473383732	2.216709412310112	2.211125550328103	2.9007914784821156	16.491114927088237	0.9649084531662075	0.9835338943514199	1.944423461548922	3.0301175480664506
25	5.0461790274000675	2.226481728575139	2.3416565642104152	3.1119689043887195	15.632869856042056	0.9427561472683388	1.10299374899592	1.7365739734018224	2.9539276915739414
26	4.947124462127255	2.2083045231258565	2.2079047282508983	2.9087937976594347	16.22750895288577	1.0887864060506363	0.9116165688445855	2.242840866233217	3.0955618010771957
27	4.852326798601153	2.1778360354523896	2.2244945859220557	3.122604869447522	16.326573547109692	1.1054279734142887	1.1500971430149187	2.1670654396524016	3.0448621198073336
28	4.9499380804950786	2.2362917119341112	2.3014983389404167	3.0233480471737924	15.647745866169029	0.8736475758467241	0.9201302643605673	1.870557904290088	2.975154141031493
29	4.929017778163332	2.2780288499633334	2.306770788103584	3.2295747177968748	16.238154170550448	0.8768204519056934	1.024901648468299	1.837478933607272	2.984115452768448
30	5.006786705979209	2.265407867098503	2.401491673319539	2.886108197827715	15.872637315283576	1.0422894804738547	1.062364245754578	1.9346272335908397	2.9443146015558668
31	4.928858478753212	2.134730126272629	2.4144071358098045	3.1311019005939644	15.788207283924821	1.139010106729347	0.9536418016916739	2.0470239615698342	3.0075015793869038
32	5.038850460699832	2.2257647509199074	2.2448385769797348	3.0135478861181944	15.601817602197727	0.8478447152060099	1.134300296165305	2.1440726081322348	3.030884283784446
33	4.865853828055063	2.215676765826877	2.2982976291103236	3.1370852751823657	16.091137903144183	1.0938831013555488	0.818629859055643	1.9434113415695753	2.964243666920909
34	4.994465750001789	2.193444584033209	2.302741283214659	3.3292751942667196	15.507226999255286	1.043714191491898	0.9171962410303484	2.0671498553494216	2.864141125982843
35	4.953552105241784	2.172362355171347	2.3908652518475364	3.492161161688167	15.759266610878962	1.0130435364569852	1.1303991416934884	2.0192572352266174	2.9845150261207163
36	4.953348653304226	2.177126363352768	2.4872985296385033	2.5200970929505115	15.76380224273418	1.0866576916314896	0.9796836918644722	2.0735923897109725	3.0466427235225684
37	4.893029789219497	2.1568271505266314	2.2868768904911096	2.9026915917978515	15.94481102543791	1.0316301624784592	0.9583982617927227	2.12061289965857	3.0878759983908455
38	5.088643665420929	2.174499590684846	2.1588032478300514	2.8122954999965337	15.846906666263298	1.032405831249885	1.0552716505449318	2.0170259195031144	2.9322804988748223
39	5.22482039482875	2.204394690534635	2.189299392834189	3.1877089308182756	16.055433342801315	0.9706482942266177	1.1675507261153095	2.0773837445107945	3.114858524494583
