	$\alpha_S$	$\theta_j \ (deg)$	$\epsilon_e \ (10^{-1}) $	$\Delta\theta \ (deg)$	$p$	$\tilde{E} \ (10^{49}erg)$	$\epsilon_B\ (10^{-4})$	$E_{off} \ (10^{49}erg)$	$n \ (10^{-4}cm^{-3})$
17	2.1563959773060786	3.1516050677196157	0.9281183359837454	15.773707288487344	2.0856213446298644	4.939114973506333	2.001712284145171	2.9837795592005607	1.0426376296240132
18	2.2743382835442945	2.924749725752831	0.7523873450013846	16.007732213391634	2.2349952530936434	5.073502982387959	1.9705784063379557	2.929399575893681	1.0937887761625573
19	2.2018701467910478	3.361740156298475	0.9908558930319302	15.65168359036106	2.042225027983415	5.161439550737831	1.7954755139235836	2.9011366589411343	0.9633600222556713
20	2.309968558878044	3.436160445831628	1.0210168404408384	15.546197088742728	1.9556124067186924	5.017263136471735	1.8057786583307511	2.9537710673441318	1.0766766898953728
21	2.3125343302196386	3.3364324738850533	1.1185903669735364	15.750844364147461	1.9511454432609217	5.068902638900751	1.9302270364303573	3.0847040887692305	1.1516162587548338
22	2.519604972737711	3.431253276239806	1.012907148992447	16.101125121779518	2.114658703636027	5.054698656479605	1.9517728551802684	3.0844189529872392	1.1237574195062408
23	2.1796129340407595	3.015586718020186	0.9286085773336815	16.234190747368658	2.2132667681786184	4.928516488715143	1.916654413885384	2.9950323280712148	0.9468748839531771
24	2.357609893182671	2.8600141896738025	1.1803838674714502	15.51484877085424	2.1599366819857666	4.950375809453116	1.9313368440409975	3.1381970160663553	0.8995109507664755
25	2.3710924410970313	2.59318458129231	1.0182851048207957	15.57529693800638	2.1541254311689277	4.978223601820177	1.9680341445587421	3.0322241245975854	1.2099759726688895
26	2.26571346501418	2.865581796596369	1.1071341853597578	15.924713157712928	2.357600060535151	4.9846662592791064	1.980827985840639	2.9057601480668622	1.1662640633925834
27	2.2911334418108074	2.7150825141551267	0.8777419615292859	15.800470254036448	2.3239278668527055	5.01530911867656	2.021753475110369	2.9904642148886107	1.1598747094584272
28	2.1874224016948	2.826619304867141	1.092865921019438	15.91044639361346	2.18167131039645	4.879682170677153	1.9967590644497142	3.0555786653436505	1.187811039983115
29	2.412280855383957	2.9638294609051417	0.9016555477807845	15.768913863717357	2.3232863997830395	5.121330506088485	2.0045701697196914	2.923239697535769	0.7866738117262959
30	2.399869092748955	3.455057384289059	1.1720053202820404	16.424334888497736	2.3589121330504472	4.9304009577184145	2.1464172314421712	2.9993800508316366	1.013956894329052
31	2.3898708465718514	3.2229183510240715	1.244110857159497	16.292383568349685	2.4715594216037147	4.909705223712866	2.279236100193447	3.008292098278404	1.015240484035991
32	2.209251972797157	2.9263720960144415	0.7747398789937922	15.875514720092951	2.081177338264112	5.094093379394275	1.723937973547268	3.0249273858702845	0.9985723711640005
33	2.352210187303358	3.061194512527485	1.0809370451746012	16.11585676391681	2.3740720869616325	4.928265546819332	2.048316129511635	2.919255767329497	1.0166978573700927
34	2.287254637911935	3.2635552840247213	1.09621185834753	15.5592627263423	2.4122828690622815	4.882227840581714	2.012977747469439	2.9990814344199093	1.1964026587354235
35	2.2184921988139465	2.600704973353519	1.092475308010371	15.53798980900586	2.3447073511478704	4.950136601903413	2.0658746862150066	3.105813712694448	0.9974620419931388
36	2.382450672468339	3.4086268518512632	0.9159190296688441	16.42261974434788	2.167554500075607	5.052551323742299	1.9387912999608703	2.8990199749120813	1.029745502048561
37	2.166786757959984	2.5777873130656337	1.0596143419096111	15.702092026062527	2.1732913979948782	5.135932736325364	1.961411055764564	2.9981857216776313	0.9237975626344919
38	2.417673842546566	3.343918481639121	0.91216637140521	16.162641601292414	2.162667675271416	4.9524830618956495	2.174787217781961	2.8816920473463576	1.0519394501004344
39	2.2129719821379377	3.293684598215686	0.8684545576185124	16.42544208375886	2.2437626731963918	4.918870612293143	1.9505739461119402	2.822717569007699	1.078453755315261
40	2.334813491898111	2.7147285176668134	1.110928413183421	15.588369648950652	2.2967171431192326	4.983680690598274	2.002113630579467	2.997954478986201	1.0059064184573676
