	$\epsilon_B\ (10^{-4})$	$\Delta\theta \ (deg)$	$\epsilon_e \ (10^{-1}) $	$n \ (10^{-4}cm^{-3})$	$\theta_j \ (deg)$	$E_{off} \ (10^{49}erg)$	$p$	$\tilde{E} \ (10^{49}erg)$	$\alpha_S$
69	1.9871400743349765	16.035394425101323	1.0267480405239398	1.0876145933064	2.662732687324906	3.197010096344558	2.143154675560955	4.921264923482604	2.2966438962513447
70	2.030635337031844	16.183578127461466	0.828588275630502	1.0348086237230563	3.48431213365448	2.945421777156126	2.1408051500892453	5.066643767847149	2.163935058117604
71	1.9603276804671017	15.769766499491732	1.224829396644279	0.9831025449751339	2.5626237739058726	3.0517731170011655	2.2455745450326283	4.946016752734071	2.4103452753073062
72	1.8981866033321328	15.842591944589412	1.1063065358217685	1.1151408750230396	3.083784032915908	2.900730618434658	2.2596444396484094	4.962412522878215	2.4200477894608934
73	2.1594983764418276	15.89426016370796	0.9754456107160641	0.9083025672735059	2.985682780317421	3.03471972095527	2.1035102053081602	5.032833117101803	2.201903852053266
74	1.8198796101524854	15.88929835499485	1.051659140529608	1.0238874617582574	2.6022612640123826	3.074831165764935	2.171820905560142	4.947135388563876	2.336649350882073
75	1.9577292467789058	15.561372677992454	0.8972367865516127	1.0801099379357446	2.6868024949633087	3.0339233932942187	2.193797467595186	4.907564040363634	2.392311852049812
76	1.9943488326468497	16.209341009604618	0.8848585118495103	0.9755373690573361	3.31169416316353	3.1804724401728603	2.1202435612873645	5.119430038017675	2.169066505852253
77	1.9462222500212403	15.729732097125767	0.8545953038439177	1.295205958745241	2.9299183107033078	3.015102391845489	2.2377112540945445	5.215631654440572	2.1699814072051833
78	2.1761699279930333	15.8939029451031	0.9463126409272724	0.8431024701881512	3.4256931114942395	2.889699881537543	2.12477724227749	4.899084696753694	2.458360278239598
79	1.8634051943079557	15.829752186886934	1.108790422389798	1.09736235545929	2.544510968418421	2.8092426451767576	2.270917293461064	5.028023170882812	2.355061016859827
80	1.9624537447027837	15.547930356136614	1.0176200857529385	1.1053159421894974	2.8664161637915435	2.8402571538789134	2.216431240519618	5.061260547815666	2.2480388660559165
81	1.9826415086390523	16.11538200634984	0.951497767006383	1.0420452520378964	3.229473479883017	3.1649744572261675	2.162886265617821	4.951786081029752	2.4149051316320516
82	2.031316575854073	16.048411010152222	1.1129519458598869	0.9158551802760901	3.2997139041812904	2.9056240037434287	2.185750468435127	5.08836414276804	2.2793492330385434
83	2.0625574214036004	15.639989749338579	1.1775946066490461	0.9996183356198907	3.405589084183433	2.9115316449479876	2.287387083706726	5.176529863833782	2.347955799676909
84	2.0365261169335045	16.019214270567684	1.0498039819494676	0.9611673081707695	3.047218095976193	3.0147976896762563	2.151174336470845	4.873733906207872	2.1199936302827176
85	1.9337611109624853	15.752687723090041	1.0734019184793457	1.0856796359042384	2.9985159215123147	3.126140325205869	2.2617195847190987	5.023128882121705	2.508482557909094
86	1.8606707449140931	15.901217391449984	1.0853862386942699	1.0481588968792779	2.6879545133039566	3.011756123434341	2.3540075534422122	4.92896675938865	2.3514291956618742
87	1.9848715580532503	16.20920266885729	1.0860477922028966	0.9732980012246595	2.8638630263995193	3.0767376485140536	2.207499340895543	5.039451422350645	2.4049084271211605
88	2.1145903911924533	15.629978747235404	0.785844416623344	0.9349850542614061	2.835142175024249	2.9825554114557544	2.1991584523461642	4.940830609108511	2.3371505657239
89	1.8420722702520322	16.047115098464673	1.1522116559820261	1.1144856328835335	3.374802585475519	2.9835534262954817	2.145089505602636	4.979013914994805	2.352434618122122
90	2.1600862987045057	15.79271889881088	0.8857156445839831	0.9775986062924739	2.639383077356689	3.0620646248421965	2.354286642932367	5.04496891027934	2.2736078675981566
91	2.1942945574817774	15.887248602711097	0.9030316604959642	0.9431215751591722	2.7203838423541935	2.9943063183862932	2.3882662384954267	4.999070502649624	2.1419194353817224
92	1.944264928692207	15.956332116720418	0.9773031026354312	0.9298557896342793	3.417990523601119	2.952033322335818	2.4131380667491573	4.985749593870863	2.20318321946377
93	1.9703261893924655	16.133169943861045	1.0548736961343366	0.9216299486248715	3.3854681293125393	3.139195713988481	2.3777570157712455	4.998894614349331	2.2056753604971324
94	1.983983480457258	15.64069437329882	1.0779019785826955	1.0902552787583095	3.3720344652506364	3.07343054414744	2.165452686357326	4.900412123166661	2.3921903830179927
95	1.9286688319500993	16.013717427292363	1.0018787541319485	0.945659475550578	2.76416805194901	2.9147779336831623	2.159317843721516	4.864668190604372	2.0788077356578496
96	1.9546062025068296	16.374171922464665	1.044505511990864	1.0880053200730055	2.724387015456357	2.9024169868856586	2.158914446585917	4.8636127643312825	2.174900289207739
97	2.0845830506246994	15.570787403440495	0.8782427616279516	1.0511997707934175	3.338020511245049	3.1285501220063887	2.1868489781116085	5.150322877518035	2.4189976211431707
98	1.9578629147366442	16.248912173242008	1.163752138934627	1.0545451930334215	2.7567189202918643	2.8794567717688047	2.146169805797237	4.776514215530655	2.2343247123902255
99	2.0285799047117075	15.708283872004655	1.1308719342578133	1.0500825310988633	2.691740836459457	2.962687626133251	2.1194023144054124	4.85709645854542	2.1890924417427366
100	2.0776684346395724	16.027812657130315	1.0753237018056545	0.9525180638647075	3.4402834710932253	3.040287591531989	2.191297569570775	4.825433349292885	2.247222575229752
101	1.923548954157268	15.685661403090188	0.9352474541098009	1.144495483382405	3.2797155920040133	2.758638137996007	2.188982888882269	5.186237796230307	2.3038270731443222
102	2.028821589359876	16.333628575985575	1.1169402569371556	0.9493445800386856	2.5690298525661857	3.108527099788021	2.215126289438894	4.88688530536742	2.3571715180023505
103	2.1415481441739894	16.40139670196342	1.0563553830720072	0.9244722903562348	2.6814686184975742	3.03859165813222	2.2138484909268605	4.86895606143573	2.316815274714847
104	1.9694341877989059	15.541274992065066	1.1090890551789816	1.0446871397587376	3.3459778175814017	2.928082894912273	2.1385506174359743	5.151460751638513	2.247268870706959
105	1.953743174735939	15.54304903691264	1.048965005323576	1.1002720352723205	3.3751190331386867	2.926863016742277	2.21921904650626	5.193941762290641	2.2957929874567227
106	1.8275083336435318	15.608180438197817	1.0965471174807546	1.0893891169905445	3.434018452808766	2.893738116430527	2.337902908164384	5.16262986107901	2.3352723686845285
107	2.1613864877617837	16.471743338806537	1.0046150528828022	1.0251603870126627	2.6631586155394524	3.1121543057211505	2.0613098344421847	4.939267927137989	2.31507768243224
108	1.904932043310588	16.494448516910673	0.9766626953183087	0.9486459515667753	3.2671189916444145	2.868019646266465	2.296598118006272	4.829885465402217	2.2793632887242574
109	1.8911726169152179	16.046636046225622	0.9331644116281105	0.9422422396209102	3.095780536237611	2.893213346976223	2.1742790161404537	5.175838262179701	2.242298720545842
110	2.044554244974023	15.557919379512391	1.1342142765994683	1.1175852186001576	3.3012904759983654	2.9587551819278346	2.196094051397448	4.930804458233562	2.5770058678100916
111	1.9256965475270245	15.698449785996624	1.129757627489015	1.1779916679882272	2.9826788017383543	3.008779494976394	2.198613487411318	4.930467432925777	2.483374223058921
112	1.956263536875307	16.163054280854098	1.0962444733593786	1.1799625472728823	3.261329848705527	2.875155840076497	2.346516822237016	5.172382869632001	2.3914948194872108
113	1.9160507128480402	15.983941221097105	1.079318988816921	1.1347938549593932	3.341351873857585	2.8915427753121783	2.315391736639836	5.2033744997036475	2.4072973936157656
114	1.9408441843444577	15.619114514968201	0.7789144113148846	1.1920524567623692	2.869906638708956	3.018889657748077	2.154142243433421	4.992143542370862	2.354259857401057
115	2.0580284731447245	16.208250632813897	1.1580343962726765	0.836641827395287	3.053847528377739	2.968167168722253	2.2345156814502314	4.928964358193151	2.232690470378424
116	2.072770949160819	15.750111120135747	1.0921245622196538	1.1955592662694634	3.0307163310736467	2.9891947640477863	2.2890323480837322	5.066112489242523	2.3715560730787484
